,Datetime,Region,Technology,Cost,Value
237,2046,reg1,Waste_supply,fixed_cost,0.0
238,2047,reg1,Waste_supply,fixed_cost,0.0
239,2048,reg1,Waste_supply,fixed_cost,0.0
240,2049,reg1,Waste_supply,fixed_cost,0.0
241,2050,reg1,Waste_supply,fixed_cost,0.0
242,2051,reg1,Waste_supply,fixed_cost,0.0
243,2052,reg1,Waste_supply,fixed_cost,0.0
244,2053,reg1,Waste_supply,fixed_cost,0.0
245,2054,reg1,Waste_supply,fixed_cost,0.0
246,2055,reg1,Waste_supply,fixed_cost,0.0
247,2056,reg1,Waste_supply,fixed_cost,0.0
248,2057,reg1,Waste_supply,fixed_cost,0.0
249,2058,reg1,Waste_supply,fixed_cost,0.0
250,2059,reg1,Waste_supply,fixed_cost,0.0
251,2060,reg1,Waste_supply,fixed_cost,0.0
252,2025,reg1,Geo_PP,fixed_cost,93645110.0
253,2026,reg1,Geo_PP,fixed_cost,93645110.0
254,2027,reg1,Geo_PP,fixed_cost,93645110.0
255,2028,reg1,Geo_PP,fixed_cost,93645066.66666667
256,2029,reg1,Geo_PP,fixed_cost,93645066.66666667
257,2030,reg1,Geo_PP,fixed_cost,93645066.66666667
258,2031,reg1,Geo_PP,fixed_cost,93645066.66666667
259,2032,reg1,Geo_PP,fixed_cost,93645066.66666667
260,2033,reg1,Geo_PP,fixed_cost,93645066.66666667
261,2034,reg1,Geo_PP,fixed_cost,93645066.66666667
262,2035,reg1,Geo_PP,fixed_cost,93645066.66666667
263,2036,reg1,Geo_PP,fixed_cost,93645066.66666667
264,2037,reg1,Geo_PP,fixed_cost,93645066.66666667
265,2038,reg1,Geo_PP,fixed_cost,93645066.66666667
266,2039,reg1,Geo_PP,fixed_cost,93645066.66666667
267,2040,reg1,Geo_PP,fixed_cost,93645066.66666667
268,2041,reg1,Geo_PP,fixed_cost,93645066.66666667
269,2042,reg1,Geo_PP,fixed_cost,93645066.66666667
270,2043,reg1,Geo_PP,fixed_cost,93645066.66666667
271,2044,reg1,Geo_PP,fixed_cost,93645066.66666667
272,2045,reg1,Geo_PP,fixed_cost,93645066.66666667
273,2046,reg1,Geo_PP,fixed_cost,93645066.66666667
274,2047,reg1,Geo_PP,fixed_cost,93645066.66666667
275,2048,reg1,Geo_PP,fixed_cost,93645066.66666667
276,2049,reg1,Geo_PP,fixed_cost,93645066.66666667
277,2050,reg1,Geo_PP,fixed_cost,93645066.66666667
278,2051,reg1,Geo_PP,fixed_cost,93645066.66666667
279,2052,reg1,Geo_PP,fixed_cost,93645066.66666667
280,2053,reg1,Geo_PP,fixed_cost,93645066.66666667
